epoch,train_loss,train_bce,train_kld,test_loss,test_bce,test_kld
1,368.03810248940675,361.2632415254237,6.774868722689354,305.01796875,294.90966796875,10.10831298828125
2,286.8164724576271,275.5203422934322,11.296127060712394,272.27294921875,259.64765625,12.625299835205078
3,265.35997086864404,252.79838122351694,12.56154826536017,263.014111328125,250.4257568359375,12.588401794433594
4,259.0956203654661,246.44518008474577,12.650394762976696,258.7926513671875,246.002880859375,12.789801025390625
5,255.42654263771186,242.60972259004237,12.816765219478285,255.791259765625,242.826806640625,12.964448547363281
6,252.71901483050848,239.7517876059322,12.967258259401483,253.245751953125,240.1439697265625,13.10179443359375
7,250.96300648834745,237.8497748940678,13.113263663599046,251.7451416015625,238.6092529296875,13.135884094238282
8,249.27476165254237,236.0453191207627,13.229395979541843,250.391552734375,236.955810546875,13.435726928710938
9,248.05717028601694,234.69746424788136,13.359745348914196,249.8470703125,236.3937744140625,13.45330810546875
10,246.99611030190678,233.52959480932202,13.466485492253709,248.2969970703125,234.66025390625,13.636727905273437
11,246.16527078919492,232.5753608315678,13.58992961301642,247.3986083984375,233.77294921875,13.625709533691406
12,245.42384467690678,231.74261784957628,13.681277517545022,246.73916015625,232.9759765625,13.763182067871094
13,244.65759070444915,230.85813360699152,13.799434338585804,246.001171875,232.07138671875,13.929788208007812
14,244.15441273834745,230.2566704184322,13.897701974642478,245.713037109375,231.8842529296875,13.828753662109374
15,243.5980534957627,229.6813923463983,13.916676666777013,245.22490234375,231.2811279296875,13.94376220703125
16,243.03202793961864,229.02448027012713,14.00750215174788,244.64951171875,230.588134765625,14.061372375488281
17,242.77699615995763,228.7368908898305,14.040158029329978,244.6813720703125,230.8213623046875,13.860028076171876
18,242.18331236758473,228.10859706038136,14.0746873758607,243.7876708984375,229.66201171875,14.125662231445313
19,242.02323887711864,227.91063625529662,14.1125684835143,243.61572265625,229.5212890625,14.094429016113281
20,241.54505429025423,227.3919160487288,14.153168241856461,243.5687255859375,229.4548828125,14.113864135742187
