epoch,train_loss,train_bce,train_kld,test_loss,test_bce,test_kld
1,368.1557534427966,361.45832229872883,6.697489075741525,303.9296630859375,293.651171875,10.278517913818359
2,286.8701668432203,275.20559123411016,11.664572505627648,272.7625732421875,259.43544921875,13.327093505859375
3,265.2736030190678,252.51305945444915,12.760570461467161,262.611767578125,249.96767578125,12.644111633300781
4,258.5327065677966,245.93306408898306,12.599640409825211,257.94541015625,245.494873046875,12.450542449951172
5,254.64722921080508,242.05064883474577,12.596494513042902,254.64794921875,242.075048828125,12.572913360595702
6,252.01706501588984,239.39516022245763,12.621893413996291,252.8645751953125,240.1193359375,12.745262908935548
7,250.26239737817798,237.57815810381356,12.68416272179555,251.2064453125,238.357568359375,12.84888153076172
8,248.8102985963983,236.0962824417373,12.714023396120233,249.86904296875,237.026904296875,12.842156982421875
9,247.86228813559322,235.0771484375,12.785155215505826,248.86015625,236.0762939453125,12.78384780883789
10,246.8470769332627,234.00845802436442,12.838643736758474,248.3578369140625,235.540380859375,12.817437744140625
11,246.18379237288136,233.25094345868644,12.932838569253178,247.7448486328125,234.8198974609375,12.924961853027344
12,245.60806739936442,232.64328985699152,12.964816853151483,246.8442138671875,233.70458984375,13.139613342285156
13,244.75979872881356,231.7029594809322,13.056887869107522,246.0684326171875,233.019140625,13.049288940429687
14,244.40457825741527,231.275390625,13.129156597590041,246.0047119140625,232.853125,13.151589965820312
15,243.79783501059322,230.6215075476695,13.176349187301376,245.4560546875,232.1256103515625,13.330459594726562
16,243.33529197563558,230.08057468220338,13.254688327595339,244.803857421875,231.5272216796875,13.276617431640625
17,242.88330905720338,229.5873113082627,13.295932575807733,245.196240234375,231.76826171875,13.427978515625
18,242.75340969279662,229.3726330773305,13.380675235037076,244.5821533203125,231.11767578125,13.464445495605469
19,242.30750132415255,228.8649198887712,13.442534883143539,243.887109375,230.5407470703125,13.346368408203125
20,241.87471861758473,228.33640095338984,13.53827421543962,243.610302734375,230.0540283203125,13.556248474121094
21,241.5908203125,228.0020358845339,13.588765807070974,243.3528076171875,229.64873046875,13.704075622558594
22,241.23669226694915,227.5794988082627,13.657183113744704,242.9376220703125,229.3068603515625,13.6307373046875
23,241.0354045286017,227.32423530190678,13.711228192862817,242.6630126953125,228.8889892578125,13.77404327392578
24,240.8732123940678,227.1290717690678,13.744194418697035,242.7001708984375,229.10224609375,13.59794921875
25,240.50844147245763,226.69893736758473,13.809457552635063,242.2396240234375,228.4505859375,13.789041137695312
26,240.38080971927965,226.50946769067798,13.871344097590041,242.1017578125,228.25439453125,13.847364807128907
27,240.25296279131356,226.3517280190678,13.901258565611759,242.103662109375,228.3068603515625,13.79681854248047
28,239.95471398305085,226.00777939618644,13.946887000132415,241.840869140625,227.8310302734375,14.009800720214844
29,239.69541181144066,225.69564353813558,13.999763100834215,241.62119140625,227.7243408203125,13.896853637695312
30,239.48027012711864,225.4534394862288,14.026882365598517,241.679931640625,227.8271240234375,13.85279541015625
31,239.43697033898306,225.37748278601694,14.059507208355402,241.5815185546875,227.5798095703125,14.001715087890625
32,239.17571504237287,225.07181872351694,14.103872525489937,241.057470703125,227.0119384765625,14.045535278320312
33,239.0144829184322,224.885593220339,14.128920732918433,240.948681640625,226.93408203125,14.01459197998047
34,238.93751655190678,224.79267081567798,14.144799183990996,240.9728515625,226.8060302734375,14.16680908203125
35,238.74188956567798,224.56951800847457,14.172361212261652,240.845361328125,226.6646484375,14.180714416503907
36,238.67938956567798,224.47293763241527,14.206468485169491,240.5843994140625,226.4805419921875,14.103831481933593
37,238.4167439088983,224.20911679025423,14.207562980005296,240.46826171875,226.3110107421875,14.157246398925782
38,238.41914393538136,224.18918829449152,14.229954606395657,240.440234375,226.280224609375,14.160017395019532
39,238.34788797669492,224.10426046080508,14.243665792174259,240.3908203125,226.12802734375,14.262832641601562
40,238.26708156779662,224.004055217161,14.263050144001589,240.4390869140625,225.990380859375,14.44874267578125
41,238.08486162605934,223.80978548728814,14.275091656183791,240.23046875,225.841259765625,14.38924560546875
42,238.00304555084745,223.69511387711864,14.307916156316209,240.351611328125,225.9724853515625,14.379158020019531
43,237.86460540254237,223.558444782839,14.306124412407309,240.010302734375,225.72099609375,14.289300537109375
44,237.78845007944915,223.46073887711864,14.327745340638241,239.951025390625,225.608447265625,14.342564392089844
45,237.7798761917373,223.4494670286017,14.330412266618115,239.8060302734375,225.465234375,14.340802001953126
46,237.6304455773305,223.26152012711864,14.3689161397643,239.87666015625,225.5281982421875,14.348468017578124
47,237.63935050317798,223.27146782309322,14.367813368975106,239.7027099609375,225.568359375,14.134365844726563
48,237.53586798199152,223.17247086864407,14.363416768736759,239.686328125,225.230908203125,14.455410766601563
49,237.4212129237288,223.02972722457628,14.391447422868115,239.9471435546875,225.658349609375,14.288775634765624
50,237.42311639300848,223.02299059851694,14.400152691340041,239.85263671875,225.3822509765625,14.4703857421875
51,237.3629667637712,222.94683527542372,14.416111832958157,239.5918701171875,225.255615234375,14.336236572265625
52,237.2917439088983,222.87513241525423,14.416660114870233,239.5563232421875,225.299853515625,14.256462097167969
53,237.16646252648306,222.7360798463983,14.430377507613876,239.7560546875,225.3066162109375,14.449417114257812
54,237.19696769067798,222.75787870762713,14.439076569120763,239.324658203125,224.8236328125,14.501028442382813
