epoch,train_loss,train_bce,train_kld,test_loss,test_bce,test_kld
1,366.75907044491527,360.1344345868644,6.624650858216366,303.832666015625,294.5060546875,9.32662582397461
2,287.67253707627117,276.35427701271186,11.318271442995233,273.6709716796875,260.5529052734375,13.118038940429688
3,265.89734507415255,253.09641485699152,12.800921941207626,263.5452880859375,250.7748046875,12.770500946044923
4,259.48000529661016,246.72916114936442,12.750744835805085,258.7884765625,246.138671875,12.64978485107422
5,255.56066273834745,242.70234706038136,12.858300160553496,255.639013671875,242.645849609375,12.993150329589843
6,252.91685977224577,239.95160222457628,12.965225478350106,253.47841796875,240.5220703125,12.956333923339844
7,250.86361228813558,237.7640856726695,13.099562822762183,251.738720703125,238.6436767578125,13.095033264160156
8,249.40696173199152,236.22146451271186,13.185526185116526,250.1403564453125,237.101806640625,13.038546752929687
9,248.017727092161,234.74286612817798,13.274872343418961,249.333251953125,236.0190673828125,13.314154052734375
10,246.96396649894066,233.59477621822035,13.369180970272776,248.1610107421875,234.7705810546875,13.390422058105468
11,246.03722523834745,232.61736957097457,13.419871184785487,247.3988037109375,233.914013671875,13.484774780273437
12,245.21030852754237,231.70464777542372,13.505723856263241,246.652587890625,233.179150390625,13.473443603515625
13,244.58711268538136,231.06064618644066,13.526479947364937,246.21279296875,232.869287109375,13.343489074707032
14,243.95514433262713,230.35422735699152,13.600962493379237,245.5011962890625,231.9803466796875,13.520848083496094
15,243.5162043167373,229.90154925847457,13.614674713652013,245.870751953125,232.21572265625,13.655020141601563
16,243.0027641684322,229.32552635063558,13.677269887115996,244.8514404296875,231.197607421875,13.653857421875
17,242.61526747881356,228.9217922404661,13.693474203853285,244.353662109375,230.733251953125,13.620429992675781
18,242.25963320974577,228.5427204713983,13.716949980137711,243.8041748046875,229.8568359375,13.947358703613281
19,241.82514565677965,228.06930283368644,13.755816960738876,243.8523681640625,230.02861328125,13.823789978027344
20,241.5562433792373,227.78201138771186,13.774205094676907,243.2921875,229.390478515625,13.901715087890626
21,241.30405852754237,227.49981792902543,13.804245770987817,243.053662109375,229.217333984375,13.836332702636719
22,241.0064221398305,227.18615929555085,13.820318706965041,242.83017578125,228.931689453125,13.898492431640625
23,240.76550913665255,226.9263440148305,13.839210639565678,242.62177734375,228.8715087890625,13.750296020507813
24,240.63709944385593,226.78553694385593,13.85152112023305,242.2154541015625,228.443017578125,13.772441101074218
25,240.29543498411016,226.39727886652543,13.898146807137183,242.0896484375,228.338818359375,13.750860595703125
26,240.14127052436442,226.220554157839,13.9207763671875,241.944970703125,227.818603515625,14.126358032226562
27,239.82637049788136,225.86309917902543,13.96326200840837,241.7839599609375,227.8086181640625,13.975369262695313
28,240.22374867584745,226.2941935911017,13.929498187566209,243.3970703125,229.5391357421875,13.857936096191406
29,239.77701271186442,225.79104872881356,13.985927775754767,241.4954833984375,227.552685546875,13.942791748046876
30,239.31966697563558,225.3054985434322,14.014113604012183,241.300732421875,227.300830078125,13.999893188476562
31,239.3217028601695,225.27216300317798,14.049509856660487,241.3137451171875,227.320556640625,13.993167114257812
32,239.04545153601694,224.98151152012713,14.064004154528602,241.0529052734375,226.9052734375,14.147627258300782
33,238.88229939088984,224.7630097987288,14.119303040585276,241.002099609375,226.902587890625,14.099504089355468
34,238.76817399364407,224.64643471927965,14.121713412010063,240.7780517578125,226.7187255859375,14.059329223632812
35,238.65961003707628,224.51021252648306,14.149467856197035,240.6383056640625,226.666796875,13.971522521972656
36,238.50950079449152,224.33476231461864,14.174741583355402,240.464794921875,226.4652587890625,13.999522399902343
37,238.3948457362288,224.14939751059322,14.245455467094809,240.3005615234375,226.0618408203125,14.238726806640624
38,238.20833885063558,223.97972391419492,14.228608729475635,240.1720458984375,225.841064453125,14.330982971191407
39,238.152492717161,223.8785090042373,14.273983712923728,240.3284423828125,226.3506591796875,13.977743530273438
40,238.11894200211864,223.84070444915255,14.27835651979608,240.2349365234375,225.93984375,14.295103454589844
41,237.99327992584745,223.68576204978814,14.307535462460276,240.003466796875,225.6769775390625,14.32650146484375
42,237.84588519597457,223.49463718220338,14.351256289724576,240.2951904296875,225.943798828125,14.351371765136719
43,237.8575873940678,223.49400820974577,14.36364228846663,239.7254638671875,225.5629150390625,14.162553405761718
44,237.6195544226695,223.24629237288136,14.373349981792902,239.5759765625,225.1715576171875,14.404396057128906
45,237.46244372351694,223.0570378707627,14.405433784096928,239.55615234375,225.2684326171875,14.287745666503906
46,237.396633342161,222.97356660487287,14.423019150556144,239.57060546875,225.361572265625,14.209046936035156
47,237.28778800317798,222.85657772775423,14.431174068127648,239.52333984375,225.08076171875,14.442610168457032
48,237.345852092161,222.91613148834745,14.42978474245233,239.5149169921875,224.8202880859375,14.694625854492188
49,237.16356594279662,222.69986427436442,14.46372028932733,239.5160888671875,224.8999755859375,14.616127014160156
50,237.1530720338983,222.69031382415255,14.462803727489407,239.760595703125,225.23095703125,14.529637145996094
51,237.1712956832627,222.66538665254237,14.505905927237817,239.1555419921875,224.7269287109375,14.428585815429688
52,236.998046875,222.48892677436442,14.5091749288268,239.23623046875,224.8654296875,14.3708251953125
53,236.82873742055085,222.3360202595339,14.492679919226696,239.1907958984375,224.73505859375,14.455729675292968
54,236.84742452330508,222.30822960805085,14.539141121557204,238.9438232421875,224.4087890625,14.535032653808594
55,236.89585540254237,222.3612453654661,14.534583140227754,238.88037109375,224.301318359375,14.579060363769532
56,236.69772907838984,222.1525092690678,14.545216705839513,239.049169921875,224.4894287109375,14.559744262695313
57,236.58497748940678,222.03667902542372,14.54829536050053,238.6794921875,223.7626708984375,14.916822814941407
58,236.64698093220338,222.06981594279662,14.577216714115465,238.83798828125,224.4650634765625,14.372909545898438
59,236.5124470338983,221.92725436970338,14.585186457229874,238.7365234375,224.37333984375,14.363175964355468
60,236.34843418961864,221.74951999470338,14.598892470537606,238.6706787109375,224.23798828125,14.432705688476563
61,236.33640095338984,221.73718882415255,14.599215232719809,238.69716796875,224.0970947265625,14.600051879882812
62,236.36448953919492,221.76499602754237,14.599444890426376,238.7525390625,223.998779296875,14.753756713867187
63,236.32688360699152,221.70997748940678,14.616955773305085,238.5915771484375,223.944482421875,14.647079467773438
64,236.31390691207628,221.66591631355934,14.647945080773304,238.637744140625,224.0966064453125,14.541151428222657
65,236.23947298728814,221.62839314088984,14.611055018538135,238.4947021484375,223.70029296875,14.794424438476563
66,236.17167637711864,221.51026218220338,14.661366608183263,238.376806640625,223.68076171875,14.696044921875
67,236.09638175317798,221.4564684851695,14.639954647775424,238.365625,223.6712158203125,14.694381713867188
68,236.03603350105934,221.36553230932202,14.670460846464513,238.612548828125,224.1098876953125,14.5026611328125
69,236.15749139300848,221.5101628707627,14.647326453257415,238.2360595703125,223.390576171875,14.845458984375
70,235.95201602224577,221.27251059322035,14.679553015757415,238.2208984375,223.76376953125,14.457127380371094
71,235.83229608050848,221.15772311970338,14.674650547868115,238.2113037109375,223.60400390625,14.607273864746094
72,235.86779992055085,221.1659328654661,14.701877400026483,238.193994140625,223.407861328125,14.7861328125
73,235.81913731461864,221.14986096398306,14.669278419623941,238.2921630859375,223.33291015625,14.95923309326172
74,235.81566141419492,221.14759335275423,14.668097027277541,238.3920166015625,223.863623046875,14.528413391113281
75,235.78722523834745,221.11088122351694,14.67635022179555,238.2590087890625,223.891357421875,14.36761474609375
76,235.67336467161016,220.99895722987287,14.674481925317796,238.126708984375,223.487548828125,14.639175415039062
77,235.7788830773305,221.1046577065678,14.674222267280191,238.0649169921875,223.2768798828125,14.788052368164063
78,235.6125529661017,220.92664194915255,14.685897568524894,238.05791015625,223.4962890625,14.5615966796875
79,235.5902575476695,220.8763903601695,14.713939602092161,238.104931640625,223.335498046875,14.769459533691407
80,235.5288996292373,220.81617452330508,14.71272407143803,237.882666015625,223.40078125,14.481881713867187
81,235.48018736758473,220.75758077330508,14.722597283832098,237.883251953125,223.1836181640625,14.699636840820313
82,235.43968485169492,220.70941472457628,14.73024943723517,238.074462890625,223.2145263671875,14.859954833984375
83,235.4094941737288,220.67821438029662,14.731327380164196,237.87109375,223.1107666015625,14.760325622558593
84,235.4189453125,220.69744769597457,14.72149658203125,237.9388671875,223.1038818359375,14.834994506835937
85,235.44779528601694,220.6976628707627,14.750110690876589,238.1544189453125,223.41650390625,14.73791961669922
86,235.3316174523305,220.60970603813558,14.721858654992054,237.759228515625,222.930224609375,14.828993225097657
87,235.37493379237287,220.62322894597457,14.751726570775954,237.83349609375,223.0303955078125,14.80311279296875
88,235.23116393008473,220.48818193855934,14.743007853879767,237.6374267578125,222.7558837890625,14.881521606445313
89,235.24741790254237,220.47666181144066,14.770702297404661,237.7807373046875,223.1667236328125,14.614027404785157
90,235.21327131885593,220.48990333686442,14.723395913334215,237.7169921875,223.268408203125,14.44859619140625
91,235.18551377118644,220.42591366525423,14.75957424357786,237.7888671875,222.78115234375,15.007717895507813
92,235.16631355932202,220.423679157839,14.742691298662606,237.9451904296875,223.196337890625,14.748851013183593
93,235.1410222457627,220.36493644067798,14.776080632613876,237.7885986328125,223.1732177734375,14.615390014648437
94,235.09674589512713,220.3353581832627,14.761339090638241,237.6944580078125,222.911767578125,14.7826904296875
95,235.1192233845339,220.34798728813558,14.771225751456567,237.9052978515625,223.270166015625,14.635137939453125
96,235.04622947563558,220.2829548463983,14.763259111824683,238.2078125,223.32236328125,14.885467529296875
97,235.0834216101695,220.3189386917373,14.764427055746822,237.5659912109375,222.8084228515625,14.75758056640625
98,234.92933990995763,220.14560712394066,14.783673819849046,237.6331787109375,222.893115234375,14.740068054199218
99,234.949367717161,220.17015360169492,14.779176873675848,237.47578125,222.697998046875,14.777790832519532
100,234.87976694915255,220.09783832097457,14.781950352555615,237.6287353515625,222.953466796875,14.675259399414063
101,234.90651483050848,220.15565413135593,14.750850354210804,237.49775390625,222.7145263671875,14.78323974609375
102,234.93975105932202,220.169094279661,14.770664021120233,237.50849609375,222.8886474609375,14.619857788085938
103,234.93207097457628,220.13375595868644,14.798247773768539,237.4513671875,222.6970947265625,14.754263305664063
104,234.79498808262713,220.025241657839,14.76977021815413,237.430126953125,222.7168701171875,14.713262939453125
105,234.7665188029661,219.9839777542373,14.782574152542374,237.5754150390625,222.7351806640625,14.840242004394531
106,234.78014102224577,220.02949549788136,14.750644489870233,237.3653076171875,222.557568359375,14.807725524902343
107,234.69721596927965,219.90184719279662,14.795388431872352,237.6144775390625,222.97158203125,14.642903137207032
108,234.72525489936442,219.94655389300848,14.778639971199683,237.318994140625,222.5174072265625,14.801608276367187
109,234.79715638241527,219.9961765095339,14.800935389631885,237.369384765625,222.8132568359375,14.556126403808594
110,234.71812102754237,219.9458918167373,14.77211955442267,237.4022705078125,222.6862060546875,14.716050720214843
111,234.6750529661017,219.86948821504237,14.805538888704978,237.3270751953125,222.38173828125,14.945367431640625
112,234.67847921080508,219.85162870762713,14.826894986427437,237.334423828125,222.6112548828125,14.72315673828125
113,234.65214512711864,219.85646186440678,14.795682228217691,237.321875,222.4404296875,14.881425476074218
114,234.56001721398306,219.75672007415255,14.80327541545286,237.2280029296875,222.556201171875,14.671794128417968
115,234.57792637711864,219.76501257944915,14.81291897014036,237.39814453125,222.59892578125,14.799252319335938
116,234.6009004237288,219.77317266949152,14.827762927039196,237.3891357421875,222.6713623046875,14.717771911621094
117,234.57125595868644,219.74238612288136,14.828897767147776,237.21484375,222.4474853515625,14.767379760742188
118,234.48702330508473,219.66515492584745,14.821905621027541,237.282177734375,222.615771484375,14.6663818359375
119,234.49458752648306,219.6472126588983,14.84735935017214,237.3121826171875,222.6552001953125,14.656973266601563
120,234.4976330773305,219.669772907839,14.827801203323624,237.192333984375,222.354833984375,14.837504577636718
121,234.4622285487288,219.62072960805085,14.841482388771187,237.1823974609375,222.4546875,14.727688598632813
122,234.37941935911016,219.54569981461864,14.833683337195446,237.192138671875,222.3537841796875,14.838351440429687
123,234.45428363347457,219.63253111758473,14.821702860169491,237.1981201171875,222.454736328125,14.743377685546875
124,234.38277939618644,219.54619637182202,14.836598541777013,237.3906982421875,222.27255859375,15.118135070800781
125,234.40841829978814,219.55702131885593,14.85138456700212,237.00869140625,222.3228271484375,14.68585205078125
126,234.37945246292372,219.54790121822035,14.831541934255826,237.493701171875,222.715185546875,14.778506469726562
127,234.33426575741527,219.50531316207628,14.828868801310911,237.1221435546875,222.396484375,14.72567138671875
128,234.2685546875,219.4083686440678,14.860186043432204,237.0597412109375,222.131591796875,14.928125
129,234.30218816207628,219.46138440148306,14.84080376059322,237.1406494140625,222.4389892578125,14.701637268066406
130,234.29404462394066,219.44470007944915,14.849253509004237,237.13720703125,221.972607421875,15.1645751953125
131,234.28608315677965,219.43435513771186,14.851782847259004,237.1023681640625,222.1496337890625,14.952706909179687
132,234.2513738082627,219.40562102754237,14.845748642743644,237.124560546875,222.2859130859375,14.838632202148437
133,234.26191737288136,219.42988612288136,14.832009525622352,237.14755859375,222.8166748046875,14.330885314941407
134,234.19190280720338,219.34191273834745,14.849998344809322,236.9801513671875,222.1990966796875,14.781077575683593
135,234.1892048463983,219.33213056144066,14.857051526085804,237.0995361328125,222.409033203125,14.690522766113281
136,234.18624205508473,219.34522311970338,14.840997211003709,237.029541015625,222.2236328125,14.80591278076172
137,234.09365068855934,219.24869239936442,14.844918978416313,236.9833740234375,221.996435546875,14.986936950683594
138,234.10925913665255,219.25748146186442,14.85177043332892,236.9935546875,222.2098388671875,14.783682250976563
139,234.12941935911016,219.2775920286017,14.851816985566737,237.06416015625,221.931787109375,15.132388305664062
140,234.10242319915255,219.2429985434322,14.859403965836865,237.1397705078125,222.209765625,14.930030822753906
141,234.095852092161,219.20489605402543,14.890948796676376,237.0016357421875,221.9926025390625,15.009024047851563
142,234.04543498411016,219.18433858580508,14.861111915717691,237.0904296875,222.5146484375,14.575787353515626
143,234.009914592161,219.1576238082627,14.852271128509004,237.0325439453125,222.4911376953125,14.541398620605468
144,234.05149298199152,219.1680515095339,14.883454920881885,237.151171875,222.35595703125,14.795211791992188
145,234.1222358315678,219.270358845339,14.851860434322035,236.8702880859375,222.14951171875,14.720773315429687
146,233.99756686970338,219.1388373940678,14.85878947629767,236.932080078125,222.18330078125,14.748780822753906
147,233.93726827330508,219.0764863612288,14.860791222523835,236.897216796875,222.1004150390625,14.796788024902344
148,234.01785950741527,219.13059454449152,14.88720703125,236.934912109375,222.151123046875,14.7837646484375
149,233.90260858050848,219.03154793432202,14.871006852489407,236.8463134765625,222.066455078125,14.779843139648438
150,233.9710176112288,219.0945610434322,14.876441050384004,236.9212646484375,222.116748046875,14.804522705078124
151,233.8928264036017,219.01842227224577,14.8743699930482,236.9295654296875,221.95361328125,14.975953674316406
152,233.88032971398306,219.00119173728814,14.87911418332892,237.01220703125,222.5343994140625,14.477828979492188
153,233.87998212394066,219.02706236758473,14.852909411414196,236.8620361328125,221.946728515625,14.915286254882812
154,233.86789923199152,218.98162738347457,14.886236675715041,236.9013671875,222.0525390625,14.848843383789063
155,233.85186043432202,218.977688029661,14.87415378376589,237.039599609375,221.998486328125,15.041123962402343
156,233.85838188559322,218.98927436440678,14.869058899960276,237.165185546875,222.150048828125,15.015139770507812
157,233.84833487817798,218.95514433262713,14.893231925317796,236.801123046875,221.9496337890625,14.851481628417968
158,233.82655256885593,218.930515095339,14.896002300715041,236.83056640625,222.2122314453125,14.618339538574219
159,233.80137711864407,218.9213122351695,14.880063848980402,236.8470458984375,221.95146484375,14.895603942871094
160,233.83297470868644,218.93687102754237,14.89610161215572,236.723388671875,221.6196533203125,15.103736877441406
161,233.78325278072035,218.90282375529662,14.880472474179026,236.81240234375,221.757861328125,15.054557800292969
162,233.75142346398306,218.85482322563558,14.896582651946504,236.8074951171875,221.7228515625,15.084678649902344
163,233.71681342690678,218.82858845338984,14.888258077330509,236.7115966796875,221.8738037109375,14.837796020507813
164,233.69483249470338,218.7969577595339,14.8979688741393,236.8200927734375,222.0141845703125,14.80592041015625
165,233.77476165254237,218.86866061970338,14.90613620564089,236.7134521484375,222.096484375,14.616932678222657
166,233.74198887711864,218.83434851694915,14.90767863645392,236.712109375,222.093701171875,14.618435668945313
167,233.73419292902543,218.8412175582627,14.892961922338454,236.8517333984375,222.038232421875,14.813523864746093
168,233.7058064088983,218.81928628177965,14.886477712857522,236.7658203125,221.8419921875,14.9238037109375
169,233.68326271186442,218.78722523834745,14.896035404528602,236.6926513671875,221.876123046875,14.81650390625
170,233.63650357521186,218.72169623940678,14.914808370299259,236.718408203125,221.8007568359375,14.917636108398437
171,233.72058726165255,218.8009467690678,14.919599112817796,236.82236328125,221.887939453125,14.934420776367187
172,233.67806541313558,218.77121954449152,14.906825178760593,236.779833984375,222.0140625,14.765771484375
173,233.63762910487287,218.7277045815678,14.909942109706039,236.7292236328125,221.9361328125,14.793116760253906
174,233.62890625,218.71391684322035,14.91499457925053,236.6947021484375,221.8881103515625,14.806578063964844
175,233.65476032838984,218.74167439088984,14.91313869670286,236.6489013671875,221.828857421875,14.820042419433594
176,233.62253376588984,218.73667571504237,14.88581977456303,236.6387939453125,221.7846923828125,14.854098510742187
